Artist,Album
Alice Costelloe,Move On With The Year
Alice Costelloe,When It's the Time
Anri,杏里 夏盤
Arctic Monkeys,Favourite Worst Nightmare
Baby Bugs,Bible Belt
Blick Bassy,1958
Blood Red Sun,Pressure Lover
D3lta,Kids
Daedr1k,Cold Summer
Devendra Banhart,Cripple Crow
Dirty Nice,Surrenderland
Disappeared Completely,Not With Me
Ea Othilde,I Will Not Be Like That
Elk Darling,The Cecil Hotel
Esther,Miss Congeniality
FIL BO RIVA,Beautiful Sadness (Deluxe Edition)
"Ghostpoet,Paul Smith",Shedding Skin
Gracie Abrams,The Secret of Us (Deluxe)
James Supercave,Better Strange
"John Grant,Sinéad O'Connor",Pale Green Ghosts
Kanadia,Kanadia
"Karen O,Michael Kiwanuka",YO! MY SAINT (Radio Version)
Kosco,Supermoon
"Laurent Bardainne,Melissa Weikart",This Is Your Song
Low,Ones and Sixes
Malummí,Damaged By Their Silence
Maudlin Strangers,Silver Stain
Melissa Mary Ahern,Kerosene
Mood Bored,Lucky
Nep,Noelle
Odd Beholder,Internet Famous
Pixey,Free to Live in Colour
RVE,running
Renard Tortue,Jamais d'accord
The Cabriolets,Inside Out
The Dresden Dolls,"Yes, Virginia"
"The Something Specials,Taylor Olin",Coop
To Athena,Weird Kid
Traf,Quetzal
Vlad Holiday,Write Me off the Show
sombr,I Barely Know Her
วงดิอิมพอสซิเบิ้ล,The Impossible รวมฮิต Vol.2
･ ･－･ ･－ ･･･ ･ －･･,･－･･ ･ － ･･ － －－･ －－－
