Artist_A_rechercher,Artist_Possede,Artist_sim,Album_A_rechercher,Album_Possede,Album_sim,Liste_albums_pos,Path_Possede
Blick Bassy,Bassy Blick,100,1958,Ako,0,Ako,/mnt/m/musiques/__Autres/Bassy Blick/Ako
･ ･－･ ･－ ･･･ ･ －･･,-M-,0,･－･･ ･ － ･･ － －－･ －－－,,0,,
วงดิอิมพอสซิเบิ้ล,Haich Ber Na,45,The Impossible รวมฮิต Vol.2,,0,,
Anri,Anri,100,杏里 夏盤,Timely!!,10,Timely!!,/mnt/m/musiques/__Autres/Anri/Timely!!
Devendra Banhart,Devendra Banhart,100,Cripple Crow,Smokey Rolls Down Thunder Canyon,27,Mala - Smokey Rolls Down Thunder Canyon,/mnt/m/musiques/__Autres/Devendra Banhart/Smokey Rolls Down Thunder Canyon
sombr,Colombre,62,I Barely Know Her,,0,,
D3lta,Dalida,55,Kids,,0,,
Daedr1k,Dxrk ダーク,59,Cold Summer,,0,,
Arctic Monkeys,Smoke City,58,Favourite Worst Nightmare,,0,,
The Cabriolets,The Cranberries,76,Inside Out,,0,,
Elk Darling,David Darling,67,The Cecil Hotel,,0,,
"John Grant,Sinéad O'Connor",John Grant,100,Pale Green Ghosts,"Grey Tickles, Black Pressure",36,"Boy from Michigan - Grey Tickles, Black Pressure - Queen of Denmark","/mnt/m/musiques/__Autres/John Grant/Grey Tickles, Black Pressure"
"Ghostpoet,Paul Smith",Gotan Project,64,Shedding Skin,,0,,
"The Something Specials,Taylor Olin",nothhingspecial,70,Coop,,0,,
Vlad Holiday,Hola Hola,67,Write Me off the Show,,0,,
Nep,Inerpol,60,Noelle,,0,,
Traf,Traf,100,Quetzal,La Dibona,25,John Wolfgang II - La Dibona - My Mowl,/mnt/m/musiques/__Autres/Traf/La Dibona
Renard Tortue,La Tordue,64,Jamais d'accord,,0,,
James Supercave,James Spiteri,71,Better Strange,,0,,
"Karen O,Michael Kiwanuka",Karen O,100,YO! MY SAINT (Radio Version),Crush Songs,27,Crush Songs - Lux Prima - Where The Wild Things Are Motion Pic,/mnt/m/musiques/__Autres/Karen O/Crush Songs
Disappeared Completely,Part Company,53,Not With Me,,0,,
Dirty Nice,Jane Dire,63,Surrenderland,,0,,
Kanadia,Nada,73,Kanadia,,0,,
Kosco,Coco,67,Supermoon,,0,,
Pixey,Ibeyi,60,Free to Live in Colour,,0,,
FIL BO RIVA,Boris Vian,57,Beautiful Sadness (Deluxe Edition),,0,,
Gracie Abrams,Brace! Brace!,67,The Secret of Us (Deluxe),,0,,
To Athena,To Athena,100,Weird Kid,The Movie,33,Aquatic Ballet - Dänke - The Movie - Wältuntergang,/mnt/m/musiques/__Autres/To Athena/The Movie
Baby Bugs,BB Brunes,67,Bible Belt,,0,,
Ea Othilde,White Sea,63,I Will Not Be Like That,,0,,
Mood Bored,Bedroom,59,Lucky,,0,,
Blood Red Sun,Blonde Redhead,59,Pressure Lover,,0,,
Melissa Mary Ahern,Melissa Auf der Maur,79,Kerosene,,0,,
Odd Beholder,Odd Beholder,100,Internet Famous,Sunny Bay,33,Drive - Feel Better - Hurt - Lighting - Remixes - Sunny Bay,/mnt/m/musiques/__Autres/Odd Beholder/Sunny Bay
Esther,Easter,83,Miss Congeniality,,0,,
RVE,Hervé,75,running,,0,,
Alice Costelloe,Steel Alive,69,Move On With The Year,,0,,
Alice Costelloe,Steel Alive,69,When It's the Time,,0,,
"Laurent Bardainne,Melissa Weikart",Laurent Bardainne,100,This Is Your Song,En Amour - Adrien M & Claire B (Bande originale),28,En Amour - Adrien M & Claire B (Bande originale),/mnt/m/musiques/__Autres/Laurent Bardainne/En Amour - Adrien M & Claire B (Bande originale)
Malummí,MaMaMa,62,Damaged By Their Silence,,0,,
Low,Elbow,75,Ones and Sixes,,0,,
Maudlin Strangers,Serena Stranger,62,Silver Stain,,0,,
The Dresden Dolls,The Doors,62,"Yes, Virginia",,0,,
